Product Name,Brand,Price (USD),Cost Price (USD),Units Sold,Revenue (USD),Stock Availability (Days),Competitor Price (USD)
AHA Hydration Cream,COSRX,25,15,1100,27500,12,27
Snail Repair Cream,Mizon,18,11,2300,41400,9,20
Ultra Barrier Cream,Dr. Jart+,40,24,650,26000,20,38
Centella Soothing Gel,Purito,22,13,1600,35200,18,22
Honey Glow Cream,I'm From,35,21,950,33250,16,34
Ceramide Moisture Balm,Illiyoon,28,17,1300,36400,10,30
Propolis Recovery Cream,Dr. Ceuracle,32,19,800,25600,11,34
Deep Moist Cream,Pyunkang Yul,26,16,1500,39000,7,28
Collagen Elastic Cream,Etude House,21,13,1800,37800,6,22
Water Bank Blue Hyaluronic Cream,Laneige,45,27,550,24750,26,43
